shop_id,shop_name,address,menus,categories,facilities,awards
KMmsD-cDByhJabnXeLF3dA,원조마포소금구이 강남점,서울특별시 강남구 압구정로 110 화인빌딩 1층,,"육류,고기요리,돼지고기구이","반려동물,발렛,콜키지,대관",산토리 하이볼명가100
zVb7gGpjravvqspTNh1I1g,원조마포소금구이 도산점,"서울특별시 강남구 도산대로53길 21 지상1층, 2층",,"육류,고기요리,돼지고기구이","콜키지,반려동물,발렛,대관",산토리 하이볼명가100
JyHNusyrNtfhh3pgyE4llw,순정갈비 선릉직영점,서울특별시 강남구 선릉로90길 56 대치동 대우아이빌명문가 1층 104호,,"육류,고기요리,돼지고기구이","주차,단체,대기공간,무선인터넷,예약금 0원 결제,콜키지,대관",예약 성공 보장
JrqfgupEFr52PzRmRZmAdQ,수미돈 삼성점,서울특별시 강남구 삼성로103길 12 신도브래뉴주상복합 106,,"육류,고기요리,돼지고기구이","콜키지 프리,자동결제,단체,아기의자,대기공간,무선인터넷,웰컴키즈존,콜키지,대관",예약 성공 보장
C2UcACxMp8zChuhmI3-uVQ,신사고집 압구정점,서울특별시 강남구 논현로167길 13 1층,,"육류,고기요리,돼지고기구이","콜키지 프리,단체,무선인터넷,예약금 0원 결제,웰컴키즈존,주차,콜키지,대관","위스키 페어링 맛집,국내 최저가 위스키"
xa7ghvWv7btqGiyUoQjBEA,경복냉삼,서울특별시 강남구 언주로108길 12 1층 102호,,"육류,고기요리,돼지고기구이","콜키지 프리,위스키 주문,예약금 0원 결제,발렛,단체,대기공간,무선인터넷,콜키지,대관","쯔양 방문,농심면가 60,위스키 페어링 맛집,첫 예약 할인,꽃 주문 서비스 ,국내 최저가 위스키"
UvHhdM5kaq8zMjp1K2J6tg,두툼 강남점,서울특별시 강남구 선릉로93길 56 1층,,"육류,고기요리,돼지고기구이","발렛,발렛,자동결제,단체,아기의자,대기공간,무선인터넷,웰컴키즈존",첫 예약 할인
yarU9s4LG9K3258lsiQrSw,돼지벅스,서울특별시 강남구 강남대로62길 24 1층,,"육류,고기요리,돼지고기구이","주차,반려동물,자동결제,단체,대기공간,무선인터넷,웰컴키즈존,콜키지,대관","첫 예약 할인,라스트 찬스"
SVm57eH5B0DsMJnMWzLL3g,팔화당 선릉점,"서울특별시 강남구 테헤란로52길 15 금천빌딩 제비1층 101호, 103호",,"육류,고기요리,돼지고기구이,소고기구이","주차,장애인 편의시설,발렛,단체,대기공간,무선인터넷,콜키지,대관",
0reEm5DD-lzK-KSs3rNZHQ,짐승고깃간,서울특별시 강남구 언주로134길 29 2층,,"육류,고기요리,돼지고기구이,소고기구이","주차,예약금 0원 결제,콜키지,단체,아기의자,대기공간,무선인터넷,웰컴키즈존,대관",
RpNqrINwlbU-wDsUjI5zwQ,더바른정육식당 강남신논현역본점,서울특별시 강남구 강남대로 482 1층,,"육류,고기요리,돼지고기구이,소고기구이","주차,주차,콜키지 프리,발렛,단체,무선인터넷,콜키지",
f5lQJZ19r_I1pvGQKCK2KQ,육가온 역삼점,서울특별시 강남구 논현로 503 송촌빌딩 지하1층 제1호부터 제12호,,"육류,고기요리,돼지고기구이,소고기구이","주차,단체,아기의자,대기공간,무선인터넷,웰컴키즈존,콜키지,대관",모임 추천 맛집
sX6b62GkF4RxpJPbV_7OXQ,동남회관 ,서울특별시 강남구 언주로93길 24 태선빌딩 1층,,"육류,고기요리,돼지고기구이,소고기구이","주차,자동결제,단체,무선인터넷,콜키지,대관",예약 성공 보장
31wF-1TsEvXAULHQxX8lDg,크라운돼지,서울특별시 강남구 강남대로156길 17-1,,"육류,고기요리,돼지고기구이,소고기구이","발렛,단체,무선인터넷,콜키지,대관","예약 성공 보장,흑백요리사2: 송훈"
FHFfGLwLfzH7UlCxCOzrrg,청담고수 2호점,서울특별시 강남구 압구정로79길 18 1층,,"육류,고기요리,돼지고기구이,소고기구이","주차,콜키지 프리,위스키 주문,예약금 0원 결제,발렛,와인주문,단체,무선인터넷,웰컴키즈존,콜키지,대관","위스키 페어링 맛집,모임 추천 맛집,국내 최저가 위스키"
rhxf7AYsDLutL7NrNwZmzA,우림,서울특별시 강남구 언주로108길 10 맛미빌딩,,"육류,고기요리,소고기구이","발렛,단체,무선인터넷,예약금 0원 결제,콜키지,대관",
IBXJaX9iCH2Sna13yRPYcA,순정한우정육식당 논현점,서울특별시 강남구 봉은사로37길 9 청마빌딩 지상1층 101호,,"육류,고기요리,소고기구이","반려동물,발렛,단체,아기의자,무선인터넷,웰컴키즈존,콜키지,대관",
o-_W1AkLBJTE-OtDPoUnAg,한우촌 안동갈비,서울특별시 강남구 선릉로161길 8 지상1층 101호,,"육류,고기요리,소고기구이","콜키지 프리,반려동물,발렛,자동결제,단체,무선인터넷,웰컴키즈존,콜키지,대관",
w-gLudSArhAr2W53w9VbtQ,소제이 서울본점,서울특별시 강남구 강남대로114길 13 광명빌딩 1층 소제이 서울본점,,"육류,고기요리,소고기구이","자동결제,단체,대기공간,대관","1월 트래픽 급상승,강남 회식 맛집,당일 30% 할인,첫 예약 할인"
PhS5U15DZ6uj2SrJRajAPA,경천애인2237 삼성본점,서울특별시 강남구 테헤란로 421 암천BLDG 3층,,"육류,고기요리,소고기구이","콜키지 프리,레터링,장애인 편의시설,발렛,단체,아기의자,대기공간,무선인터넷,웰컴키즈존,콜키지,대관","2025 레드리본 전국의 맛집,라스트 찬스"
EHc1ydaFwhFDqUGo6awY4A,한우드림 신사점,서울 강남구 강남대로152길 62 2층,,"육류,고기요리,소고기구이","발렛,대기공간,무선인터넷,예약금 0원 결제,콜키지",가정의달 맛집
p321-4CQyesM3YyuCbF5Ig,육미안 강남점,서울특별시 강남구 강남대로106길 9 1층,,"육류,고기요리,소고기구이","주차,장애인 편의시설,단체,대기공간,무선인터넷",강남 회식 맛집
tTXCVPiKj5JnMnJCLIyRsA,창고43 삼성점,서울특별시 강남구 테헤란로 534 글라스타워빌딩 지하1층,,"육류,고기요리,소고기구이","주차,콜키지 프리,단체,콜키지,대관","모임 추천 맛집,리미티드위크,앵콜 리미티드"
cQ2GrSHpB0LH1zs6eL-r8w,창고43 역삼점,서울특별시 강남구 테헤란로 306 카이트타워 1층,,"육류,고기요리,소고기구이","주차,콜키지 프리,단체,콜키지,대관","모임 추천 맛집,리미티드위크,앵콜 리미티드"
GsdQLQ8-_t4JAEzIsa_IzQ,맛배고기,"서울특별시 강남구 학동로2길 35 1,2층",,"육류,고기요리,소고기구이","주차,자동결제,단체,대기공간,무선인터넷,대관",예약 성공 보장
gGgCOgIdzv8ltri3U2H8xA,화설 선릉직영점,서울특별시 강남구 삼성로85길 26 V & S 1층,,"육류,고기요리,소고기구이","주차,콜키지 프리,단체,대기공간,무선인터넷,위스키 주문,콜키지,대관","위스키 페어링 맛집,국내 최저가 위스키"
3bo9wMUdCLITWLPe7_dnLg,한우스팟,서울특별시 강남구 도산대로49길 6-10,,"육류,고기요리,소고기구이","콜키지 프리,반려동물,발렛,단체,대기공간,무선인터넷,위스키 주문,예약금 0원 결제,콜키지,대관","위스키 페어링 맛집,국내 최저가 위스키"
olhv1OdkYn1oa-MlsKxk5Q,넘버원양꼬치 강남 삼성점,서울특별시 강남구 삼성로100길 12 지상1층,,"육류,고기요리,양고기","반려동물,발렛,자동결제,단체,아기의자,무선인터넷,웰컴키즈존,콜키지,대관",
PSGCSNQeMEGOpCUbx1v89Q,미랑 선릉본점,서울특별시 강남구 테헤란로51길 10 정다운빌딩 2층,,"육류,고기요리,양고기","주차,콜키지 프리,장애인 편의시설,단체,대기공간,무선인터넷,콜키지,대관","스텔라 인증 BEST 생맥주,소비쿠폰 사용 가능"
fdaHzJc-Rx_msJQwcF34rQ,뜨락,서울특별시 강남구 영동대로142길 13-3,"구이류,곁들임,특수부위,식사,temp,temp,temp,temp,채끝 150g,등심 150g,가자미식혜,안동산 하몽,공기밥,누룽지,보리굴비,살치살 130g,양념등심 150g,안심 육전,비빔국수,안심 150g,한우 된장찌개,육회,안창살 130g","육류,고기요리,한우오마카세,소고기구이","콜키지 프리,아기의자,무선인터넷,예약금 0원 결제,주차,발렛,단체,전문 소믈리에,웰컴키즈존,콜키지,대관","Taste of Seoul,2025 레드리본 전국의 맛집,모임 추천 맛집,Taste of Seoul,동네의 고수"
ZFr8salFcbZbiW21pUF0mQ,우시야 본점 압구정점,서울특별시 강남구 도산대로27길 16 1층,,"육류,고기요리,한우오마카세,소고기구이","콜키지 프리,예약금 0원 결제,노키즈존,발렛,단체,대기공간,무선인터넷,콜키지,대관",[수요미식회] 
hzZ3oSSSDsDTrQJ5Jdjitw,휴고 도산,서울특별시 강남구 도산대로49길 31 아뜨레빌딩 1층 106호,,"이탈리아음식,이탈리아음식","반려동물,단체,아기의자,무선인터넷,웰컴키즈존,콜키지,대관","2025 레드리본 전국의 맛집,소비쿠폰 사용 가능"
Qt3LZVFP_eUNy8SDOpOdlA,마마논마마,서울특별시 강남구 논현로175길 101-3 2층,,"이탈리아음식,이탈리아음식","발렛,자동결제,단체,무선인터넷,전문 소믈리에,콜키지",첫 예약 할인
